,index,Scene,Region,# of Tags,Relevant Tags in Region (Excluding : window;ceiling;floor;door;unknown;wall;window frame),Tied Names,Predicted Names
104,2024,00750-E1NrAhMoqvB,13,21,ceiling lamp;sensor;wall hanging decoration;rug;table;bowl of fruit;coffee table;patio chair;stair step;jacuzzi;trashcan;storage box;firewood;flower;handrail,Tie: Living room & Hall/stairwell,Living room
105,2035,00757-LVgQNuK8vtv,8,38,stairs;shelving;box;rope;bag;clothes;machine;bottle;jar;paper towel;toilet paper;cloth;basket of towels;towel;clutter;trashcan;laundry basket;laundry machine;sink;faucet;shelf;bottle of detergent;basket;ironing board;iron;air conditioner;clothes hanger;hanging clothes;carpet;trolley;step;vent;pipe;lamp;beam,Tie: Bathroom & Hall/stairwell,Hall/stairwell
106,2060,00758-HfMobPm86Xn,15,34,door knob;door frame;cabinet;wardrobe;note;curtain;curtain rail;ceiling lamp;ceiling lamp hanger;sofa;picture;table;table lamp;fireplace;fireplace utensil;decoration;book;decorative dinnerware;vase;box;jewelry;tv;stack of stuff;book cabinet;armchair;ottoman;smoke detector,Tie: Bedroom & Living room,Living room
107,2069,00800-TEEsavR23oF,4,29,stairs;picture;window curtain;curtain rod;speaker;curtain;led tv;fireplace;flower;chandelier;armchair;table;decorative plate;floor mat;pillar;fire alarm;couch;book;lamp;plate;alarm control;balustrade,Tie: Living room & Hall/stairwell,Hall/stairwell
108,2085,00802-wcojb4TFT35,6,28,floor lamp;footrest;table;sofa;pillow;lamp;trashcan;flowerpot;tv;fireplace;printer;computer tower;shredder;door frame;window shutters;decor;figure;art frame;book;board games;chess;folder;bookshelf,Tie: Office & Living room,Living room
109,2137,00810-CrMo8WxCyVb,13,15,door frame;stairs;couch;pillow;rug;vent;balustrade;sensor;lamp;picture;frame,Tie: Living room & Hall/stairwell,Hall/stairwell
110,2141,00813-svBbv1Pavdk,1,20,lamp;ventilation;smoke detector;painting;picture;plant;table;pillow;sofa;trashcan;book;chair;desk;door frame,Tie: Office & Living room,Living room
111,2153,00814-p53SfW6mjZe,2,13,curtain;carpet;decoration;picture;ceiling lamp;couch;table;bowl;stairs railing;hat,Tie: Living room & Hall/stairwell,Living room
112,2202,00820-mL8ThkuaVTM,9,18,electric box;wall electronics;ceiling lamp;painting;heater;guitar;led tv;cabinet;flower;box;media console;newspaper;couch;wardrobe,Tie: Bedroom & Living room,Bedroom
113,2259,00827-BAbdmeyTvMZ,6,23,picture;couch;pillow;table;furniture;clock;decoration;curtain;curtain rod;fireplace;shelf;ceiling lamp;rug;stairs;handrail;door frame,Tie: Living room & Hall/stairwell,Hall/stairwell
114,2294,00832-qyAac8rV8Zk,14,15,picture;air conditioning;lamp;sensor;dresser;tv;electrical controller;couch;cushion;fire sprinkler,Tie: Bedroom & Living room,Bedroom
115,2298,00835-q3zU7Yy5E5s,3,40,picture;pillow;rug;blanket;glass;door frame;decorative plate;vessel;book;telephone;candle;fireplace;fireplace wall;fireplace tool set;firewood;ceiling lamp;armchair;heater;window glass;curtain rod;window curtain;table lamp;floor lamp;wall clock;cabinet;cabinet clutter;box of tissues;stool;socket;couch;beam;wall electronics;shelf;plate;kitchen appliance,Tie: Kitchen & Living room,Living room
116,2313,00839-zt1RVoi7PcG,2,35,chandelier;painting;picture;sensor;ceiling vent;ceiling lamp;attic door;rug;table;couch;pillow;blinds;board;snack;door frame;wall electronics;wall hanging decoration;tv;tv stand;media console;machine;mini fridge;armchair;chair;cabinet;arcade game;cardboard box;exercise machine;basket;plush toy,Tie: Living room & Rec room,Living room
117,2351,00844-q5QZSEeHe5g,9,38,door frame;picture;fishing pole;poster;wheel;shelf;pot;heater;plant;cabinet;vinyl records;apple;bowl;table cloth;table;pillow;blanket;book;lamp;sofa;decor;hammer;crate;ladder;chair;monitor;pen cup;photo;figurine;shelving;desk,Tie: Office & Living room,Living room
118,2356,00844-q5QZSEeHe5g,14,46,lamp;picture;ladder;trashcan;cabinet;washing machine;niche;hat;clothes dryer;plant;doily;box;flowerpot;bowl;table;handrail;door frame;heater;drawing;candle;lace doily;decor;tool box;cloth;pillow;chest;stairs;painting;dried flowers;keys;doormat;rug;basket;clothes;shelving;shoe;gun;hanger;shelf,Tie: Laundry room & Hall/stairwell,Hall/stairwell
119,2367,00847-bCPU9suPUw9,8,18,ceiling vent;chandelier;door frame;sensor;table;flower;floor mat;cabinet;couch;pillow;chair;curtain rail;stairs railing,Tie: Living room & Hall/stairwell,Living room
120,2373,00847-bCPU9suPUw9,14,20,ceiling lamp;ceiling vent;clock;door frame;refrigerator;rug;armchair;couch;table;cabinet;box;floor mat;painting;curtain rod;chair,Tie: Kitchen & Living room,Living room
121,2406,00853-5cdEh9F2hJL,5,37,smoke detector;wall hanging decoration;door frame;wall clock;painting;table;flower vase;display cabinet;mirror;mirror frame;cabinet;vase;floor lamp;wall tv;speaker;curtain;curtain rod;sliding glass door;firewood holder;end table;l-shaped sofa;pillow;throw blanket;armchair;coffee table;lamp;ceiling lamp;ceiling fan;dining chair;dining table;flowerpot;roomba;carpet,Tie: Dining room & Living room,Dining room
122,2409,00853-5cdEh9F2hJL,8,29,curtain;door frame;sliding glass door;shelf;computer desk;monitor;calendar;office chair;pc tower;painting;wall tv;speaker;fireplace;decoration;appliance;book;bucket;coffee table;tray;end table;decorative bowl;lamp;sofa;pillow;ceiling fan;rug,Tie: Office & Living room,Living room
123,2422,00861-GLAQ4DNUx5U,8,19,door frame;clutter;washing machine;refrigerator;ironing board;vacuum cleaner;stand;cardboard box;bag;rack;paper towel;bottle of detergent;storage box;jar,Tie: Laundry room & Kitchen,Laundry room
124,2439,00862-LT9Jq6dN3Ea,1,32,tv;painting;picture;sofa chair;couch;table;table lamp;clock;flower vase;decoration;rug;pillow;counter;stool;cabinet;display cabinet;wall panel;wall lamp;sink;tap;dining table;dining chair;bowl;board;frame;ceiling lamp,Tie: Dining room & Living room,Dining room
125,2495,00871-VBzV5z6i1WS,8,24,lamp;ventilation;case;basket;wall cabinet;paper towel dispenser;sink;washer-dryer;clutter;refrigerator;bag;rug;cardboard box;box;vacuum cleaner;hanger;tool;window shutter;shelf,Tie: Laundry room & Kitchen,Laundry room
126,2530,00877-4ok3usBNeis,0,41,bench;freezer;refrigerator;dresser;toy;shelf;chair;rack;speaker;record player;picture frame;shoe;tray;box;cabinet door;door frame;paneling;door knob;door hinge;wall hanging decoration;blinds;door window;picture;clock;shades;hunting trophy;bag;object;pile of magazines;objects;bottle of detergent;carpet;rug;ceiling light fixture connection;doorstep,Tie: Bedroom & Kitchen,Bedroom
127,2554,00878-XB4GS9ShBRE,12,28,ceiling vent;ceiling lamp;sensor;blinds;ventilation hood;painting;armchair;pillow;dresser;telephone;couch;floor lamp;table;electrical controller;cabinet;led tv;book;printer;electrical box;guitar;exercise bike;door frame,Tie: Bedroom & Living room & Rec room,Living room
128,2568,00890-6s7QHgap2fW,0,14,box;radiator;wardrobe;plant;door frame;stairs;railing;doormat;lamp;door window,Tie: Bedroom & Hall/stairwell,Hall/stairwell
129,2570,00890-6s7QHgap2fW,2,21,wardrobe;radiator;curtain rod cover;window glass;parapet;plant;photo mount;baby changing table;dining table;chair;door frame;cloth;table cloth;glass;drawer,Tie: Bedroom & Dining room,Bedroom
